C:\Users\23590\Anaconda3\python.exe C:/Users/23590/level4-project/template/src/individual-classification/classify_BRCA_BLCA.py
15     BLCA
16     BLCA
17     BLCA
18     BLCA
19     BLCA
       ... 
241    BRCA
242    BRCA
243    BRCA
244    BRCA
245    BRCA
Name: organ, Length: 924, dtype: object
15     BLCA
16     BLCA
17     BLCA
18     BLCA
19     BLCA
       ... 
241    BRCA
242    BRCA
243    BRCA
244    BRCA
245    BRCA
Name: organ, Length: 231, dtype: object
17     BLCA
18     BLCA
19     BLCA
20     BLCA
21     BLCA
       ... 
251    BRCA
252    BRCA
253    BRCA
254    BRCA
255    BRCA
Name: organ, Length: 239, dtype: object
(924, 49) (924, 2)
Epoch: 55, Loss: 0.01635, Train Accuracy: 0.98384, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 56, Loss: 0.01608, Train Accuracy: 0.98384, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 57, Loss: 0.01582, Train Accuracy: 0.98491, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 58, Loss: 0.01556, Train Accuracy: 0.98599, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 59, Loss: 0.01532, Train Accuracy: 0.98707, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 60, Loss: 0.01507, Train Accuracy: 0.98707, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 61, Loss: 0.01484, Train Accuracy: 0.98707, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 62, Loss: 0.01461, Train Accuracy: 0.98707, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 63, Loss: 0.01439, Train Accuracy: 0.98707, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 64, Loss: 0.01418, Train Accuracy: 0.98707, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 65, Loss: 0.01397, Train Accuracy: 0.98815, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 66, Loss: 0.01376, Train Accuracy: 0.98815, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 67, Loss: 0.01356, Train Accuracy: 0.98815, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 68, Loss: 0.01337, Train Accuracy: 0.98815, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 69, Loss: 0.01318, Train Accuracy: 0.98815, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 70, Loss: 0.01300, Train Accuracy: 0.98815, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 71, Loss: 0.01282, Train Accuracy: 0.98815, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 72, Loss: 0.01265, Train Accuracy: 0.98815, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 73, Loss: 0.01248, Train Accuracy: 0.98815, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 74, Loss: 0.01231, Train Accuracy: 0.98815, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 75, Loss: 0.01215, Train Accuracy: 0.98815, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 76, Loss: 0.01199, Train Accuracy: 0.98815, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 77, Loss: 0.01184, Train Accuracy: 0.98815, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 78, Loss: 0.01169, Train Accuracy: 0.98815, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 79, Loss: 0.01154, Train Accuracy: 0.98815, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 80, Loss: 0.01140, Train Accuracy: 0.98922, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 81, Loss: 0.01126, Train Accuracy: 0.98922, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 82, Loss: 0.01112, Train Accuracy: 0.98922, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 83, Loss: 0.01099, Train Accuracy: 0.98922, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 84, Loss: 0.01085, Train Accuracy: 0.98922, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 85, Loss: 0.01073, Train Accuracy: 0.98922, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 86, Loss: 0.01060, Train Accuracy: 0.98922, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 87, Loss: 0.01048, Train Accuracy: 0.98922, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 88, Loss: 0.01036, Train Accuracy: 0.98922, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 89, Loss: 0.01024, Train Accuracy: 0.98922, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 90, Loss: 0.01013, Train Accuracy: 0.98922, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 91, Loss: 0.01002, Train Accuracy: 0.98922, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 92, Loss: 0.00991, Train Accuracy: 0.98922, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 93, Loss: 0.00980, Train Accuracy: 0.98922, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 94, Loss: 0.00970, Train Accuracy: 0.99030, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
